,STATE,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,region
0,Alabama,860025,851269,1134257,1146065,1070963,1056683,1201515,1251081,1328498,1330957,1324005,1320922.0,1329688.0,1391528.0,1478420.0,1582565.0,1689539.0,1554168.0,1598288.0,1613522.0,1686942.0,1740279.0,1800717.0,1805801.0,1851584.0,1902812.0,1944155.0,2083851.0,2122679.0,2159612.0,2209982.0,2271493.0,2315799.0,2316209.0,2393878.0,2472717.0,2461559.0,2544715.0,2773636.0,2097596.0,2843587.0,2752590.0,2937981.0,2977311.0,3008575.0,2860724.0,3456100.0,3138237.0,3387123.0,3434117.0,3445893.0,3521444.0,3559897.0,3577986.0,3598034.0,3613138.0,3637414.0,3665180.0,3691762.0,3753550.0,3782284.0,3805751.0,3798552.0,3827522.0,3859403.0,3881542.0,3907038.0,3943082.0,3954378.0,3999057.0,3.0
1,Alaska,-,-,-,-,-,-,-,-,-,-,108889,109060.0,104868.0,96825.0,103869.0,111616.0,119338.0,107446.0,114563.0,128429.0,135194.0,141317.0,146572.0,153631.0,161188.0,179155.0,208397.0,213619.0,225781.0,220696.0,218856.0,217040.0,228477.0,258061.0,288739.0,305000.0,300000.0,310000.0,300000.0,300000.0,300000.0,314300.0,318000.0,405100.0,437696.0,435677.0,434389.0,439855.0,446247.0,456891.0,459362.0,465256.0,472211.0,480295.0,481487.0,482532.0,486582.0,489024.0,495249.0,503162.0,507759.0,515239.0,521280.0,526371.0,528873.0,531744.0,533227.0,534585.0,534585.0,536033.0,2.0
2,Arizona,308319,335730,364315,416341,453758,419144,477722,541373,591851,644039,715869,777899.0,830741.0,872419.0,895299.0,906878.0,907739.0,941107.0,964336.0,1003749.0,1045034.0,1124207.0,1172814.0,1184421.0,1221771.0,1284155.0,1326436.0,1373033.0,1419363.0,1612555.0,1771363.0,1933321.0,2020142.0,2085980.0,2178815.0,2256884.0,2324591.0,2162505.0,2272863.0,2351903.0,2371588.0,2392618.0,2400002.0,2505887.0,2623680.0,2849304.0,2626222.0,2727312.0,3119537.0,3198276.0,3297281.0,3433995.0,3550367.0,3668326.0,3819425.0,3783927.0,3943180.0,4032643.0,4153739.0,4315579.0,4403390.0,4443647.0,4592398.0,4697579.0,4791450.0,4881801.0,4978762.0,5082305.0,5164966.0,5284970.0,2.0
3,Arkansas,585314,591578,635931,660471,688843,707180,743721,769220,786259,779360,798678,810825.0,818530.0,842703.0,880526.0,918355.0,948532.0,982862.0,1012907.0,1051218.0,1034821.0,1057874.0,1081045.0,1119004.0,1203248.0,1269165.0,1312403.0,1358286.0,1402035.0,1366869.0,1412169.0,1468700.0,1532316.0,1591119.0,1649567.0,1674379.0,1723753.0,1645779.0,1657795.0,1676863.0,1710953.0,1722021.0,1720270.0,1712225.0,1750765.0,1768394.0,1769012.0,1752229.0,1878618.0,1918451.0,1925733.0,1947867.0,1961883.0,1965008.0,1998127.0,1862430.0,2024466.0,2034975.0,2046039.0,2055189.0,2065065.0,2077806.0,1956091.0,2199164.0,2097201.0,2111873.0,2119578.0,2391103.0,2417464.0,2145334.0,3.0
4,California,5083333,5182893,5470713,5803946,6127287,6351316,6631453,6964514,7320862,7622056,8154462,8694099.0,9172640.0,8541854.0,9053189.0,9516910.0,9916119.0,10356079.0,10688074.0,11324141.0,11425000.0,11646000.0,12130000.0,12650000.0,12775000.0,13176000.0,13564000.0,14047000.0,14579000.0,15020183.0,15336179.0,15668731.0,16046252.0,16299376.0,16648518.0,16946908.0,17444640.0,18017285.0,18562926.0,18925973.0,19569735.0,19845906.0,19930785.0,20110665.0,20123481.0,20156177.0,20139586.0,20249200.0,20385245.0,20498902.0,20830674.0,21243939.0,21623793.0,22394800.0,22657288.0,22761088.0,22895965.0,23021279.0,23467452.0,23697667.0,23680643.0,23753441.0,23856600.0,24200997.0,24390236.0,24813346.0,25532920.0,26199436.0,26777132.0,27039400.0,2.0
5,Colorado   ,670882,717213,754359,802919,845550,871387,896288,954684,1009028,1036012,1077172,1092354.0,1120544.0,1159561.0,1156167.0,1092661.0,1122925.0,1227440.0,1261386.0,1260787.0,1332537.0,1379460.0,1475154.0,1535918.0,1611341.0,1643451.0,1689795.0,1774280.0,1878330.0,1996420.0,2024327.0,2048409.0,2104355.0,2182380.0,2229042.0,2269225.0,2284364.0,2292473.0,2310349.0,2226285.0,2115926.0,2043003.0,2083864.0,2392276.0,2591011.0,2732682.0,2727570.0,2756807.0,2836339.48,2946476.0,2990673.14,3107258.0,3287922.0,3165815.0,2975337.0,3205054.0,3341275.0,3341275.0,3502709.0,3605682.0,3704561.0,3779273.0,3669816.0,3807673.0,3837488.0,3883362.0,3974521.0,4066580.0,4156138.0,4244713.0,2.0
6,Connecticut,794554,836983,890252,934181,979849,1023130,1108718,1164395,1198326,1252899,1396146,1449444.0,1505663.0,1552438.0,1482600.0,1666103.0,1766070.0,1842596.0,1897875.0,1982948.0,1709530.0,1724174.0,1760286.0,1797821.0,1807796.0,1784898.0,1860781.0,1889714.0,1912713.0,2060965.0,2107092.0,2174482.0,2197505.0,2235145.0,2249525.0,2336665.0,2314612.0,2334843.0,2346668.0,2369966.0,2373817.0,2214146.0,2212725.0,2357607.0,2180314.0,2318543.0,2349051.0,2343779.0,2270228.0,2349286.0,2373723.0,2652593.0,2650374.0,2672145.0,2659918.0,2694574.0,2740270.0,2805124.0,2848602.0,2883324.0,2916143.0,2934576.0,2986267.0,2485708.0,2534090.0,2542588.0,2566673.0,2611007.0,2586994.0,2605612.0,0.0
7,Delaware,139347,148234,153007,160636,173962,176322,191694,202846,211453,216795,224503,231288.0,246512.0,250966.0,265401.0,258668.0,276418.0,285993.0,295086.0,311693.0,308475.0,326941.0,339608.0,348779.0,370704.0,370269.0,373774.0,381408.0,383749.0,402907.0,408471.0,417462.0,429036.0,433284.0,432029.0,440310.0,447937.0,455400.0,462514.0,468844.0,480622.0,484801.0,495281.0,501397.0,506274.0,513406.0,524992.0,529291.0,535712.0,545872.0,551787.0,556688.0,564099.0,573021.0,585136.0,533943.0,610406.0,619877.0,624472.0,651877.0,699745.0,695036.0,716109.0,720290.0,723657.0,732349.0,742524.0,756328.0,770512.0,786504.0,3.0
8,District of Columbia,303370,314037,320618,324173,326360,330411,333749,336977,337026,337233,339988,342346.0,344767.0,347539.0,347193.0,349619.0,343782.0,343646.0,343549.0,343366.0,346454.0,339272.0,345151.0,344671.0,335388.0,331938.0,335515.0,335371.0,349685.0,349049.0,345211.0,344042.0,343000.0,385100.0,370196.0,374159.0,384736.0,388658.0,388835.0,391775.0,394344.0,412312.0,406270.0,351675.0,361068.0,361854.0,338549.0,333445.0,356181.0,349835.0,348873.0,348216.0,328094.0,309349.0,313027.0,349122.0,330363.0,357569.0,396193.0,373735.0,376086.0,384940.0,395442.0,400993.0,405555.0,419896.0,455602.0,489831.0,521056.0,527731.0,3.0
9,Florida,1213234,1302728,1419975,1530968,1618884,1708891,1882318,2138007,2384867,2431957,2552905,2658883.0,2755703.0,2919457.0,3073245.0,2976004.0,3091863.0,3237123.0,3335861.0,3424776.0,3613764.0,3994024.0,4083846.0,4360625.0,4758804.0,4945289.0,5673691.0,6256318.0,6572489.0,6868333.0,7289502.0,7267962.0,7641035.0,7978824.0,8347269.0,8185949.0,8016239.0,8334798.0,8593062.0,8789843.0,9006249.0,9231405.0,9692974.0,10537677.0,10762041.0,11005438.0,11024064.0,11399593.0,11749244.0,12026947.0,12400841.0,12853428.0,12743403.0,12744055.0,12905812.0,13146357.0,13373700.0,13988630.0,14138846.0,14033844.0,14005066.0,13949726.0,13882423.0,13896581.0,13670441.0,13898347.0,14262715.0,14675160.0,15076358.0,15368695.0,3.0
